sigma,method,family,delta_pr_auc,delta_roc_auc,delta_sensitivity,delta_precision,delta_specificity,delta_accuracy,delta_f1,delta_youden_j
4.0,Functional linear SVM,Functional linear,0.003332833977602423,0.0026539519068657924,0.0024903474903474887,-0.0024557182316483628,-0.0009334222867570796,-0.0002486678507993556,-0.00012519872853267167,0.001556925203590298
4.0,Functional logistic regression (L2),Functional linear,0.003999524163845525,0.003456378319587783,-0.00035875160875142864,-0.00048190044932772125,-4.277613170344807e-05,-0.00010657193605678739,-0.0003358749036109776,-0.0004015277404548767
4.0,weighted kNN + seuclidean,Distance-based functional,0.017933791382021114,0.009795613447674767,0.012002895752895815,0.017036460052445856,0.004476090497027241,0.005968028419182869,0.014725320096478645,0.016478986249922944
6.0,Functional linear SVM,Functional linear,0.007080069533075384,0.005750640665922124,0.00035231660231660467,0.0035907751237457264,0.0011071757942036076,0.0009591474245114195,0.0020700512935157844,0.0014594923965202122
6.0,Functional logistic regression (L2),Functional linear,0.005765386458134736,0.004983587090752972,-0.0014414414414413157,0.0035040542892016413,0.0011955732590309687,0.0006749555950266162,0.0011442297967735326,-0.000245868182410347
6.0,weighted kNN + seuclidean,Distance-based functional,0.02014923315592354,0.01231046241474143,0.007366473616473579,0.04346413648189851,0.013030335733767662,0.011900532859680402,0.025650775031603512,0.02039680935024113
8.0,Functional linear SVM,Functional linear,0.008260138643094606,0.006418634941730117,0.0023198198198197684,0.008730354570106846,0.0025685301100798474,0.0025222024866784487,0.005494721497457,0.004888349929899616
8.0,Functional logistic regression (L2),Functional linear,0.005642158169794187,0.0047064002586881815,-0.0014398326898326097,0.0036572129086541727,0.0014178914114161278,0.0008525754884547432,0.0014031326156536128,-2.1941278416481858e-05
8.0,weighted kNN + seuclidean,Distance-based functional,0.022094437152178736,0.013764808766427605,0.012376126126126152,0.038565452995255045,0.011436041834271826,0.011616341030195376,0.025968992390704382,0.02381216796039798
10.0,Functional linear SVM,Functional linear,0.007461786443557328,0.0052942461398104435,0.0012435649935649273,0.0018436698538240037,0.0003524125345839568,0.000532859680284159,0.0013223519171258191,0.0015959775281488842
10.0,Functional logistic regression (L2),Functional linear,0.004689371396186304,0.0038065980805565003,-0.0014269626769626287,0.0027146305268320736,0.0007555481427702349,0.0003197158081705842,0.0005838601642286223,-0.0006714145341923938
10.0,weighted kNN + seuclidean,Distance-based functional,0.022078655826677673,0.013835808840395591,0.012911840411840458,0.038394764511143986,0.011213919902674396,0.011545293072824148,0.02607174081025765,0.024125760314514855
12.0,Functional linear SVM,Functional linear,0.006926573485705467,0.0042175068224602486,0.003750000000000031,0.0010497013195222005,-6.867727567749782e-07,0.0007460035523978448,0.0021935255330173264,0.003749313227243145
12.0,Functional logistic regression (L2),Functional linear,0.004328750490056432,0.0032195222776378873,0.0003619691119692847,0.0005332361913937822,0.00013549045385874425,0.00017761989342801598,0.00045057947707871637,0.0004974595658278069
12.0,weighted kNN + seuclidean,Distance-based functional,0.023036780389361855,0.013904093169417986,0.018650257400257275,0.03598028125924635,0.010061809548103429,0.011758436944937833,0.027789187885501776,0.028712066948360926
